Field,Description of Field,Equipment Used (if applicable)
TDS (g/L),Total dissolved solids measured in g/L,"Hanna HI 98312 DiST 6 EC/TDS/Temperature Tester, or YSI EXO/EXO2"
Salinity,Salinity measured (dimensionless - no units),YSI EXO2 Multiparameter Sonde (previous: YSI EXO/6600EDS-M/6600V2M; Hydrolab DS5)
Organic,Visual or grab sample assessment of proportion of the sampling site substrate composed of organic material,Ponar grab sampler if taken from a vessel
Clay,Visual or grab sample assessment of proportion of the sampling site substrate composed of clay,Ponar grab sampler if taken from a vessel
Silt,Visual or grab sample assessment of proportion of the sampling site substrate composed of silt,Ponar grab sampler if taken from a vessel
Sand,Visual or grab sample assessment of proportion of the sampling site substrate composed of sand,Ponar grab sampler if taken from a vessel
Gravel,Visual or grab sample assessment of proportion of the sampling site substrate composed of gravel,Ponar grab sampler if taken from a vessel
Cobble,Visual or grab sample assessment of proportion of the sampling site substrate composed of cobble,Ponar grab sampler if taken from a vessel
Boulder,Visual or grab sample assessment of proportion of the sampling site substrate composed of boulder,Ponar grab sampler if taken from a vessel
Bedrock,Visual or grab sample assessment of proportion of the sampling site substrate composed of bedrock,Ponar grab sampler if taken from a vessel
Hardpan,Visual or grab sample assessment of proportion of the sampling site substrate composed of hardpan,Ponar grab sampler if taken from a vessel
Rubble,Visual or grab sample assessment of proportion of the sampling site substrate composed of rubble,Ponar grab sampler if taken from a vessel
Concrete,Visual or grab sample assessment of proportion of the sampling site substrate composed of concrete,Ponar grab sampler if taken from a vessel
Unknown,Visual or grab sample assessment of proportion of the sampling site substrate composed of unknown material,Ponar grab sampler if taken from a vessel
ND,No substrate data,
Dominant_substrate,Visual or grab sample assessment of dominant substrate of the sampling site,Ponar grab sampler if taken from a vessel
Gravel/Boulder,Visual assessment of proportion of the sampling site substrate composed of gravel/boulder. No longer used in substrate assessments,
Marl,Visual assessment of proportion of the sampling site substrate composed of marl. No longer used in substrate assessments,
Silt/Clay,Visual assessment of proportion of the sampling site substrate composed of silt/clay. No longer used in substrate assessments,
rock,Visual assessment of proportion of the sampling site substrate composed of rock. No longer used in substrate assessments,
silt/muck,Visual assessment of proportion of the sampling site substrate composed of silt/muck. No longer used in substrate assessments,
silt/sand,Visual assessment of proportion of the sampling site substrate composed of silt/sand. No longer used in substrate assessments,
Emergent,Visual assessment of proportion of the sampling site composed of emergent vegetation,
Floating,Visual assessment of proportion of the sampling site composed of floating vegetation,
Submerged,Visual assessment of proportion of the sampling site  composed of submerged vegetation,
Open Water,Visual assessment of proportion of the sampling site composed of open water,
Not_recorded_aqua_veg,Proportion of the sampling site vegetation not recorded,
Unknown_aqua_veg,Proportion of the sampling site vegetation that is unknown,
Dominant_aqua_veg,Dominant vegetation of the sampling site. Genus/Species listed are artifacts of old field sheets.,
Deciduous,Visual assessment of proportion of the sampling site riparian zone composed of deciduous trees,
Coniferous,Visual assessment of proportion of the sampling site riparian zone composed of coniferous trees,
Herbaceous,Visual assessment of proportion of the sampling site riparian zone composed of herbaceous plants,
shrubs,Visual assessment of proportion of the sampling site riparian zone composed of shrubs,
None,Visual assessment of proportion of the sampling site riparian zone composed of nothing,
Unknown,Proportion of the sampling site riparian zone that is unknown,
Not recorded,Proportion of the sampling site riparian zone not recorded,
Dominant_riparian_veg,"Dominant riparian vegetation of the sampling site. Typically one of the 7 prior fields (Deciduous, Coniferous, Herbaceous, shrubs, None, Unknown, or Not recorded), some records originating from old field sheet format differ.",
agriculture,Visual assessment of proportion of the sampling site riparian zone composed of agricultural land. No longer used in riparian vegetation assessments,
FARM,Visual assessment of proportion of the sampling site riparian zone composed of a farm. No longer used in riparian vegetation assessments,
Forest,Visual assessment of proportion of the sampling site riparian zone composed of forest. No longer used in riparian vegetation assessments,
Mature trees,Visual assessment of proportion of the sampling site riparian zone composed of mature trees. No longer used in riparian vegetation assessments,
Mixed,Visual assessment of proportion of the sampling site riparian zone composed of mixed use. No longer used in riparian vegetation assessments,
Mixed forest,Visual assessment of proportion of the sampling site riparian zone composed of mixed forest. No longer used in riparian vegetation assessments,
Sedge,Visual assessment of proportion of the sampling site riparian zone composed of sedge. No longer used in riparian vegetation assessments,
suburban,Visual assessment of proportion of the sampling site riparian zone composed of suburban land. No longer used in riparian vegetation assessments,
Trees,Visual assessment of proportion of the sampling site riparian zone composed of trees. No longer used in riparian vegetation assessments,
urban,Visual assessment of proportion of the sampling site riparian zone composed of urban land. No longer used in assessments. No longer used in riparian vegetation assessments,
wetland,Visual assessment of proportion of the sampling site riparian zone composed of wetland. No longer used in riparian vegetation assessments,
wetland plants,Visual assessment of proportion of the sampling site riparian zone composed of wetland plants. No longer used in riparian vegetation assessments,
Stream depth (m),Depth of stream measured in metres,"Metre stick, Garmin/Humminbird/Lowrance vessel GPS with sonar, Laylin Speedtech SM-5 Depthmate Portable sounder & depth meter"
depth_>_recorded,Depth of sampling site is greater than what was recorded,
Water velocity (msec),Water velocity measured in metres per second,"Swoffer 2100 Current Velocity Meter (used most 2009-2019), OTT MF Pro Water and Depth Sensor (new 2020), Global Water Flow Probe FP111/211/311 (older)"
Bin Number,Bin number in which species was captured during sampling event (equivalent of a haul),
Bin_time_s,"Time spent capturing fish for this bin/haul, in seconds.",
Bin_ID,ID code of bin/haul in which species was captured,
Species_Data_ID,"Species record unique identifier, connects the species record to the site record in the database",
Number Captured,Number of fish captured,
Caught > Number captured,Number of fish caught exceeds recorded number of fish captured,
Species,Scientific name of species captured,
Minimum (mm),Minimum length of species captured in millimeters,
Maximum (mm),Maximum length of species captured in millimeters,
,,
,,
,"Note: ""999"" entries in various fields indicate that the parameter was not measurable (e.g. depth exceeded measurement equipment range).",
